horizon,mse,rmse,mae,mape,mdape,smape,coverage
328 days,932.3900585840439,30.535062773540254,15.869063406596576,0.14268595673342663,0.05705210898824699,0.11567523786263341,0.14285714285714285
329 days,493.4206530044696,22.213073920654693,11.266827358539498,0.09887065340982068,0.05399763018120452,0.08549775115129592,0.19047619047619047
330 days,493.0891469609778,22.205610709029774,11.207604798831621,0.09833118727591421,0.05399763018120452,0.08497970814543468,0.19047619047619047
331 days,513.9483810178898,22.670429661078103,12.073236837062412,0.1046791181843074,0.05567150727705622,0.09200917318040143,0.21428571428571427
332 days,524.1783345145533,22.894941242871827,12.703718669297922,0.10900184943096772,0.05705210898824699,0.0965955123797766,0.19047619047619047
333 days,522.4103345929622,22.856297482159313,12.646455668231871,0.1065366402707637,0.05705210898824699,0.09338280663081681,0.19047619047619047
334 days,520.5139790650725,22.814775455065792,12.587239435324975,0.10589239993423542,0.05567150727705622,0.09267890324340929,0.16666666666666666
335 days,524.1691538221228,22.894740745903256,12.852955883577573,0.10626115997546805,0.05567150727705622,0.09289488949937748,0.14285714285714285
354 days,538.5777096018521,23.207277082886137,13.285168473775574,0.11529514597696038,0.05567150727705622,0.10050303869604978,0.14285714285714285
355 days,531.989339294945,23.06489408809295,12.966714191626641,0.11792779839969939,0.057804281284341966,0.10363530506268746,0.14285714285714285
356 days,512.4838555788879,22.638106271923185,12.159888444230818,0.10753942834522243,0.05399763018120452,0.09464566920497987,0.14285714285714285
357 days,507.79013981907354,22.53419933831849,11.917679146109602,0.1050480031969293,0.05399763018120452,0.09189948329698726,0.14285714285714285
358 days,824.0213929184954,28.7057728152108,15.71616370579627,0.14049495336753973,0.05956609493390717,0.11691979069879345,0.14285714285714285
359 days,821.7731551680538,28.66658603963949,15.409788703436794,0.13762683330563694,0.053897107496199415,0.11403082779128682,0.19047619047619047
360 days,414.4826062511237,20.358845896836186,11.065250455387622,0.09629331674547036,0.05026843597344576,0.08544976798370847,0.23809523809523808
361 days,413.85671531864654,20.343468615716606,10.929200651001992,0.0950932781293327,0.05026843597344576,0.08427187375734213,0.2619047619047619
362 days,436.7128493880285,20.897675693436064,11.83819597596511,0.10177933153818933,0.053897107496199415,0.09171058487034721,0.23809523809523808
363 days,440.3147183411162,20.98367742654076,12.170486493669596,0.1036458554675149,0.053897107496199415,0.09360203467240114,0.21428571428571427
364 days,443.2357818755071,21.053165602243933,12.201101939715132,0.10149057950016592,0.053897107496199415,0.09056980655818168,0.19047619047619047
365 days,439.8954551550399,20.973684825395843,12.18144412516568,0.10079074179125927,0.05026843597344576,0.08992881049989213,0.19047619047619047
